SeriesCode,SeriesName,ProductGroupCode,ProductName,URL
28328,TOUR WORLD TW757 TYPE-D,664768,ツアーワールド TW757 TYPE-D ドライバー VIZARD MA-5／6,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000664768/0000664768_01.jpg
29441,PARADYM NIGHT MODE LIMITED ED,709830,パラダイム ナイトモード リミテッド・エディション ドライバー HZRDUS Gen 4 HZRDUS ALL BLK 60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000070/0000709830/0000709830_01.jpg
22541,MP TYPE-2,521565,MP TYPE-2ドライバー Tour AD J-D1(ミズノオリジナル),https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000052/0000521565/0000521565_01.jpg
30176,B-LD(2024),740430,BｰLD ドライバー SPEEDER NX BS40LDw,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000074/0000740430/0000740430_01.jpg
27270,MAVRIK,604967,マーベリック ドライバー Tour AD XC-6,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000060/0000604967/0000604967_01.jpg
27322,TOUR WORLD TR20 440,611857,ツアーワールド TR20 440 ドライバー VIZARD FD-5／6,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000061/0000611857/0000611857_01.jpg
28389,LTDX BK LIMITED,669900,LTDx ブラック リミテッドエディション ドライバー LIN-Q White 60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000669900/0000669900_01.jpg
28390,LTDX LS BK LIMITED,669899,LTDx LS ブラック リミテッドエディション ドライバー LIN-Q White 60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000669899/0000669899_01.jpg
28391,LTDX LIMITED PTC,669902,LTDx リミテッドエディション パームツリークルー ドライバー HZRDUS RDX Smoke,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000669902/0000669902_01.jpg
28329,TOUR WORLD TW757 TYPE-S,664770,ツアーワールド TW757 TYPE-S ドライバー VIZARD for TW757,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000664770/0000664770_01.jpg
31020,DS-ADAPT X SEASON OPENER,781533,シーズンオープナー DS-ADAPT X ドライバー HZRDUS SO 6.0,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000078/0000781533/0000781533_01.jpg
30999,MAJESTY ROYAL(2025),779090,マジェスティ ロイヤル ドライバー MAJESTY Royale LV560,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000779090/0000779090_01.jpg
30182,EZONE GT TYPE-S(2024),744230,EZONE GT TYPE-S ドライバー RK-04GT,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000074/0000744230/0000744230_01.jpg
30181,EZONE GT TYPE-D(2024),744231,EZONE GT TYPE-D ドライバー RK-04GT,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000074/0000744231/0000744231_01.jpg
31018,DS-ADAPT LS VOLITION,781534,ボリション DS-ADAPT LS ドライバー TENSEI 1K BLACK 65 LIMITED,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000078/0000781534/0000781534_01.jpg
31017,DS-ADAPT LS SEASON OPENER,781532,シーズンオープナー DS-ADAPT LS ドライバー HZRDUS SO 6.0,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000078/0000781532/0000781532_01.jpg
28356,ST-Z220,662825,ST-Z220 ドライバー Diamana MM D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000662825/0000662825_01.jpg
30943,ONOFF LADY(2025),773711,オノフ レディ ドライバー SMOOTH KICK LP-425D パープル,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000773711/0000773711_01.jpg
29066,MAJESTY ROYALE(2023),760081,マジェスティ ロイヤル ドライバー MAJESTY LV550,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000760081/0000760081_01.jpg
23593,SUPERMAN EG00VI HR,556774,スーパーマン EG00VI HR ドライバー BIG BLUE V6 超高反発モデル,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000055/0000556774/0000556774_01.jpg
27032,SUPER EGG 480(2019),588275,NEW SUPER egg 480 ドライバー NEW SUPER egg オリジナルシャフト 高反発モデル,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000058/0000588275/0000588275_01.jpg
29104,ONOFF LADY,693668,オノフ レディ ドライバー SMOOTH KICK LP-423D パープル,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000069/0000693668/0000693668_01.jpg
27238,BERES 3S,734722,ベレス 09 3S ドライバー ARMRQ FX 3S,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000073/0000734722/0000734722_01.jpg
31273,BX1 LS,797693,BX1 LS ドライバー TENSEI PRO BLACK 1K CORE 60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000079/0000797693/0000797693_01.jpg
26669,G410 LST,642380,G410 LST ドライバー Diamana D-LIMITED 60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000642380/0000642380_01.jpg
27824,TOUR WORLD GS PROTOTYPE-2,645730,ツアーワールド GS460 PROTOTYPE-2 ドライバー VIZARD FZ-5／6 S,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000645730/0000645730_01.jpg
27650,MAJESTY ROYALE(2021),640001,ロイヤル ドライバー (MJライト4 35-4グリップ) MAJESTY LV540,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000640001/0000640001_01.jpg
26616,HIHO,573049,飛砲 ドライバー ZERO SPEEDER,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000057/0000573049/0000573049_01.jpg
29787,PXG 0311 XF GEN6,726484,PXG 0311 XF GEN6 ドライバー SPEEDER NX BLACK 40／50／60／70,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000072/0000726484/0000726484_01.jpg
29786,PXG 0311 GEN6,726480,PXG 0311 GEN6 ドライバー SPEEDER NX BLACK 40／50／60／70,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000072/0000726480/0000726480_01.jpg
26979,ENA Magic Wand ES(2018),586368,マジックワンドES ドライバー ZERO Speeder 高反発モデル,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000058/0000586368/0000586368_01.jpg
27695,KING RAD SPEED XD,637373,キング RAD SPEED XD ドライバー Speeder Evolution for RADSPEED,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000063/0000637373/0000637373_01.jpg
